security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange,upper_limit,lower_limit,expiry_date,strike_price,freeze_quantity
65210,NIFTY-Dec2023-19200-PE,NIFTY 28 DEC 19200 PUT,,5,50,OPTIDX,D,NSE,6,0.05,28-12-2023 14:00,19200,1801
65367,NIFTY-Dec2023-19250-CE,NIFTY 28 DEC 19250 CALL,,5,50,OPTIDX,D,NSE,2527.6,1460.5,28-12-2023 14:00,19250,1801
65368,NIFTY-Dec2023-19250-PE,NIFTY 28 DEC 19250 PUT,,5,50,OPTIDX,D,NSE,6.05,0.05,28-12-2023 14:00,19250,1801
65369,NIFTY-Dec2023-19300-CE,NIFTY 28 DEC 19300 CALL,,5,50,OPTIDX,D,NSE,2446.45,1379.35,28-12-2023 14:00,19300,1801
65370,NIFTY-Dec2023-19300-PE,NIFTY 28 DEC 19300 PUT,,5,50,OPTIDX,D,NSE,6.4,0.4,28-12-2023 14:00,19300,1801
65373,NIFTY-Dec2023-19350-CE,NIFTY 28 DEC 19350 CALL,,5,50,OPTIDX,D,NSE,2362.3,1295.2,28-12-2023 14:00,19350,1801
65374,NIFTY-Dec2023-19350-PE,NIFTY 28 DEC 19350 PUT,,5,50,OPTIDX,D,NSE,5.8,0.05,28-12-2023 14:00,19350,1801
65375,NIFTY-Dec2023-19400-CE,NIFTY 28 DEC 19400 CALL,,5,50,OPTIDX,D,NSE,2372.25,1305.15,28-12-2023 14:00,19400,1801
65376,NIFTY-Dec2023-19400-PE,NIFTY 28 DEC 19400 PUT,,5,50,OPTIDX,D,NSE,6.2,0.2,28-12-2023 14:00,19400,1801
65377,NIFTY-Dec2023-19450-CE,NIFTY 28 DEC 19450 CALL,,5,50,OPTIDX,D,NSE,2262.45,1195.35,28-12-2023 14:00,19450,1801
65378,NIFTY-Dec2023-19450-PE,NIFTY 28 DEC 19450 PUT,,5,50,OPTIDX,D,NSE,6.25,0.25,28-12-2023 14:00,19450,1801
65426,NIFTY-Dec2023-19500-CE,NIFTY 28 DEC 19500 CALL,,5,50,OPTIDX,D,NSE,2269.95,1202.85,28-12-2023 14:00,19500,1801
65427,NIFTY-Dec2023-19500-PE,NIFTY 28 DEC 19500 PUT,,5,50,OPTIDX,D,NSE,6.15,0.15,28-12-2023 14:00,19500,1801
65466,NIFTY-Dec2023-19550-CE,NIFTY 28 DEC 19550 CALL,,5,50,OPTIDX,D,NSE,2162.55,1095.55,28-12-2023 14:00,19550,1801
65467,NIFTY-Dec2023-19550-PE,NIFTY 28 DEC 19550 PUT,,5,50,OPTIDX,D,NSE,6.15,0.15,28-12-2023 14:00,19550,1801
65468,NIFTY-Dec2023-19600-CE,NIFTY 28 DEC 19600 CALL,,5,50,OPTIDX,D,NSE,2147.55,1080.55,28-12-2023 14:00,19600,1801
65469,NIFTY-Dec2023-19600-PE,NIFTY 28 DEC 19600 PUT,,5,50,OPTIDX,D,NSE,6.6,0.6,28-12-2023 14:00,19600,1801
65472,NIFTY-Dec2023-19650-CE,NIFTY 28 DEC 19650 CALL,,5,50,OPTIDX,D,NSE,2140.8,1073.9,28-12-2023 14:00,19650,1801
65473,NIFTY-Dec2023-19650-PE,NIFTY 28 DEC 19650 PUT,,5,50,OPTIDX,D,NSE,6.85,0.85,28-12-2023 14:00,19650,1801
65474,NIFTY-Dec2023-19700-CE,NIFTY 28 DEC 19700 CALL,,5,50,OPTIDX,D,NSE,2053.8,987.2,28-12-2023 14:00,19700,1801
65475,NIFTY-Dec2023-19700-PE,NIFTY 28 DEC 19700 PUT,,5,50,OPTIDX,D,NSE,6.95,0.95,28-12-2023 14:00,19700,1801
65476,NIFTY-Dec2023-19750-CE,NIFTY 28 DEC 19750 CALL,,5,50,OPTIDX,D,NSE,1995.7,929.3,28-12-2023 14:00,19750,1801
65477,NIFTY-Dec2023-19750-PE,NIFTY 28 DEC 19750 PUT,,5,50,OPTIDX,D,NSE,7.1,1.1,28-12-2023 14:00,19750,1801
65499,NIFTY-Dec2023-19800-CE,NIFTY 28 DEC 19800 CALL,,5,50,OPTIDX,D,NSE,1961,895,28-12-2023 14:00,19800,1801
65500,NIFTY-Dec2023-19800-PE,NIFTY 28 DEC 19800 PUT,,5,50,OPTIDX,D,NSE,7.05,1.05,28-12-2023 14:00,19800,1801
65501,NIFTY-Dec2023-19850-CE,NIFTY 28 DEC 19850 CALL,,5,50,OPTIDX,D,NSE,1882.35,816.75,28-12-2023 14:00,19850,1801
65502,NIFTY-Dec2023-19850-PE,NIFTY 28 DEC 19850 PUT,,5,50,OPTIDX,D,NSE,7.2,1.2,28-12-2023 14:00,19850,1801
65503,NIFTY-Dec2023-19900-CE,NIFTY 28 DEC 19900 CALL,,5,50,OPTIDX,D,NSE,1840.65,775.85,28-12-2023 14:00,19900,1801
65504,NIFTY-Dec2023-19900-PE,NIFTY 28 DEC 19900 PUT,,5,50,OPTIDX,D,NSE,7.85,1.85,28-12-2023 14:00,19900,1801
65505,NIFTY-Dec2023-19950-CE,NIFTY 28 DEC 19950 CALL,,5,50,OPTIDX,D,NSE,1782.85,718.95,28-12-2023 14:00,19950,1801
65506,NIFTY-Dec2023-19950-PE,NIFTY 28 DEC 19950 PUT,,5,50,OPTIDX,D,NSE,8.3,2.3,28-12-2023 14:00,19950,1801
65526,NIFTY-Dec2023-20050-CE,NIFTY 28 DEC 20050 CALL,,5,50,OPTIDX,D,NSE,1731.4,670.6,28-12-2023 14:00,20050,1801
65527,NIFTY-Dec2023-20050-PE,NIFTY 28 DEC 20050 PUT,,5,50,OPTIDX,D,NSE,9.45,3.05,28-12-2023 14:00,20050,1801
65529,NIFTY-Dec2023-20100-CE,NIFTY 28 DEC 20100 CALL,,5,50,OPTIDX,D,NSE,1656.35,597.95,28-12-2023 14:00,20100,1801
65532,NIFTY-Dec2023-20100-PE,NIFTY 28 DEC 20100 PUT,,5,50,OPTIDX,D,NSE,11.2,2.4,28-12-2023 14:00,20100,1801
65533,NIFTY-Dec2023-20150-CE,NIFTY 28 DEC 20150 CALL,,5,50,OPTIDX,D,NSE,1621.7,566.4,28-12-2023 14:00,20150,1801
65536,NIFTY-Dec2023-20150-PE,NIFTY 28 DEC 20150 PUT,,5,50,OPTIDX,D,NSE,13.3,1.4,28-12-2023 14:00,20150,1801
65537,NIFTY-Dec2023-20200-CE,NIFTY 28 DEC 20200 CALL,,5,50,OPTIDX,D,NSE,1544.2,492.8,28-12-2023 14:00,20200,1801
65538,NIFTY-Dec2023-20200-PE,NIFTY 28 DEC 20200 PUT,,5,50,OPTIDX,D,NSE,15.8,0.05,28-12-2023 14:00,20200,1801
